"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","TAVG","TMAX","TMIN"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-07-17","0.00","63",,"57"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-07-18",,"66",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-07-19","0.00","66",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-07-20",,"67",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-07-21","0.00","68",,"58"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-07-22",,"68",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-07-23","0.00","69","80",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-07-24","0.00","69",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-07-25",,"70",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-07-26",,"62","80",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-07-27",,"67",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-07-28","0.00","72",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-07-29","0.00","60","82",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-07-30","0.00","57","62",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-07-31","0.00","59",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-01",,"61",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-02","0.00","61",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-03",,"61","71",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-04","0.00","60",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-05",,"60",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-06","0.00","61","73",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-07",,"62",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-08",,"64",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-09","0.00","64","77",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-10","0.00","68",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-11","0.00","70",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-12","0.00","68",,
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-13","0.00","69",,"60"
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-14","0.00","72","85",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-15","0.00","68","83",
"BR00E3-0520","SAO PAULO AEROPORT, BR","-23.617","-46.65","802.0","2020-08-16","0.12","64",,
